,ReplayFingerPrint,TeamName,Team,Battletag
10780,5e64bc61-5ca7-f795-d8ef-08eab1d9c29e,30 seconds to mosh,1,5
10830,5ecff8f2-290d-d9c7-35d9-7a24df768aa3,out of pocket,1,5
10890,5f4d1c44-6859-48e5-fd65-6f2f85c199d7,ff & the pancakes,0,5
11008,606751af-49c5-d60b-948f-2f8ba1e43b20,ff & the pancakes,0,5
11013,60709305-37a1-bff4-bcd3-9f81d31dae7d,30 seconds to mosh,0,5
11030,6092942c-04f9-8580-c032-437e943e67f1,ff & the pancakes,1,5
11044,60b0547b-68c6-7e1d-cfbe-1999396d1192,ff & the pancakes,0,5
11056,60c9c72d-91ea-d6c3-bdb4-022d4e1d4cb8,out of pocket,1,5
11063,60de056f-0656-3613-127a-99033a0185c9,ff & the pancakes,0,5
11066,60e62700-48d7-1754-5f8a-87b58b95c01c,ff & the pancakes,1,5
11082,6106d86e-272a-69d4-2edd-86722875bf6d,30 seconds to mosh,1,5
11111,6149eb33-fa41-e9b6-f330-608b028ce705,ycmyccastep7:cheeseawakens,0,5
11124,616d427f-390b-3050-63e0-8f456e18749a,ltk - we hate obj,0,5
11125,616d427f-390b-3050-63e0-8f456e18749a,ycmyccastep7:cheeseawakens,1,5
11149,61b1e98c-04fb-2ae5-1ca0-6622a8f9a499,ff & the pancakes,0,5
11313,62fccdd6-a70b-0ee2-c6fd-e044cfb57aa3,ff & the pancakes,1,5
11419,63f32c28-4d9e-5c45-00db-e6ba091cfdda,out of pocket,0,5
11483,64747ef4-e982-2a29-20b5-66a8a2b26f47,30 seconds to mosh,0,5
11552,64fb1f8c-94e0-e8a7-9eb0-3777c5a066a2,ycmyccastep7:cheeseawakens,1,5
